markov_probs_b,markov_probs_p,markov_probs_pk,actual_category
0.3157894736842105,0.5263157894736842,0.15789473684210525,B
0.2631578947368421,0.5263157894736842,0.21052631578947367,P
0.25,0.55,0.2,P
0.23809523809523808,0.5714285714285714,0.19047619047619047,P
0.22727272727272727,0.5909090909090909,0.18181818181818182,P
0.21739130434782608,0.6086956521739131,0.17391304347826086,P
0.25,0.5833333333333334,0.16666666666666666,P
0.24,0.6,0.16,P
0.2692307692307692,0.5769230769230769,0.15384615384615385,B
0.24,0.6,0.16,B
0.28,0.56,0.16,P
0.28,0.56,0.16,P
0.24,0.6,0.16,B
0.4444444444444444,0.5,0.05555555555555555,B
0.3684210526315789,0.5263157894736842,0.10526315789473684,B
0.42105263157894735,0.5263157894736842,0.05263157894736842,B
0.4375,0.5,0.0625,B
0.4375,0.5,0.0625,P
0.4117647058823529,0.5294117647058824,0.058823529411764705,P
0.4117647058823529,0.5294117647058824,0.058823529411764705,P
0.4117647058823529,0.5294117647058824,0.058823529411764705,P
0.35294117647058826,0.5882352941176471,0.058823529411764705,B
0.3888888888888889,0.5555555555555556,0.05555555555555555,P
0.3684210526315789,0.5789473684210527,0.05263157894736842,P
0.35,0.6,0.05,B
0.3157894736842105,0.631578947368421,0.05263157894736842,P
0.3,0.65,0.05,P
0.3333333333333333,0.6190476190476191,0.047619047619047616,P
0.2857142857142857,0.6190476190476191,0.09523809523809523,B
0.2857142857142857,0.6190476190476191,0.09523809523809523,P
0.2857142857142857,0.6190476190476191,0.09523809523809523,B
0.3157894736842105,0.5789473684210527,0.10526315789473684,P
0.3,0.6,0.1,P
0.2857142857142857,0.6190476190476191,0.09523809523809523,P
0.2857142857142857,0.6190476190476191,0.09523809523809523,B
0.2857142857142857,0.6190476190476191,0.09523809523809523,B
0.3333333333333333,0.5714285714285714,0.09523809523809523,B
0.3333333333333333,0.5714285714285714,0.09523809523809523,P
0.3333333333333333,0.5714285714285714,0.09523809523809523,B
0.42105263157894735,0.47368421052631576,0.10526315789473684,Pk
0.3888888888888889,0.4444444444444444,0.16666666666666666,P
0.3684210526315789,0.47368421052631576,0.15789473684210525,B
0.4,0.45,0.15,P
0.4,0.45,0.15,B
0.43478260869565216,0.4782608695652174,0.08695652173913043,P
0.38095238095238093,0.5238095238095238,0.09523809523809523,B
0.4090909090909091,0.5,0.09090909090909091,P
0.36363636363636365,0.5454545454545454,0.09090909090909091,B
0.4090909090909091,0.5,0.09090909090909091,P
0.36363636363636365,0.5454545454545454,0.09090909090909091,Pk
0.2857142857142857,0.5714285714285714,0.14285714285714285,P
0.4090909090909091,0.45454545454545453,0.13636363636363635,B
0.3,0.6,0.1,B
0.35,0.55,0.1,P
0.3333333333333333,0.5714285714285714,0.09523809523809523,P
0.3,0.6,0.1,B
0.3333333333333333,0.5714285714285714,0.09523809523809523,B
0.38095238095238093,0.5714285714285714,0.047619047619047616,P
0.36363636363636365,0.5909090909090909,0.045454545454545456,B
0.391304347826087,0.5652173913043478,0.043478260869565216,B
0.43478260869565216,0.5217391304347826,0.043478260869565216,P
0.4090909090909091,0.45454545454545453,0.13636363636363635,B
0.43478260869565216,0.5217391304347826,0.043478260869565216,B
0.4583333333333333,0.5,0.041666666666666664,P
0.43478260869565216,0.5217391304347826,0.043478260869565216,P
0.43478260869565216,0.4782608695652174,0.08695652173913043,P
0.43478260869565216,0.4782608695652174,0.08695652173913043,B
0.43478260869565216,0.5217391304347826,0.043478260869565216,B
0.4,0.5,0.1,B
0.45,0.5,0.05,B
0.45,0.5,0.05,P
0.42857142857142855,0.5238095238095238,0.047619047619047616,P
0.42857142857142855,0.5238095238095238,0.047619047619047616,P
0.38095238095238093,0.5714285714285714,0.047619047619047616,P
0.36363636363636365,0.5909090909090909,0.045454545454545456,P
0.4090909090909091,0.5454545454545454,0.045454545454545456,P
0.4090909090909091,0.5454545454545454,0.045454545454545456,P
0.4090909090909091,0.5454545454545454,0.045454545454545456,B
0.4444444444444444,0.5,0.05555555555555555,B
0.4,0.45,0.15,P
0.38095238095238093,0.47619047619047616,0.14285714285714285,B
0.35,0.5,0.15,P
0.3333333333333333,0.5238095238095238,0.14285714285714285,B
0.38095238095238093,0.47619047619047616,0.14285714285714285,B
0.4090909090909091,0.45454545454545453,0.13636363636363635,B
0.44,0.48,0.08,B
